City ,03/02/2020,03/03/2020,03/04/2020,03/05/2020,03/06/2020,03/07/2020,03/08/2020,03/09/2020,03/10/2020,03/11/2020,03/12/2020,03/13/2020,03/14/2020,03/15/2020,03/16/2020,03/17/2020,03/18/2020,03/19/2020,03/20/2020,03/21/2020,03/22/2020,03/23/2020,03/24/2020,03/25/2020,03/26/2020,03/27/2020,03/28/2020,03/29/2020,03/30/2020,03/31/2020,04/01/2020,04/02/2020,04/03/2020,04/04/2020,04/05/2020,04/06/2020,04/07/2020,04/08/2020,04/09/2020,04/10/2020,04/11/2020,04/12/2020,04/13/2020,04/14/2020,04/15/2020,04/16/2020,04/17/2020,04/18/2020,04/19/2020,04/20/2020,04/21/2020,04/22/2020,04/23/2020,04/24/2020,04/25/2020,04/26/2020,04/27/2020,04/28/2020,04/29/2020,04/30/2020,05/01/2020,05/02/2020,05/03/2020,05/04/2020,05/05/2020,05/06/2020,05/07/2020,05/08/2020,05/09/2020,05/10/2020,05/11/2020,05/12/2020,05/13/2020,05/14/2020,05/15/2020,05/16/2020,05/17/2020,05/18/2020,05/19/2020,05/20/2020,05/21/2020,05/22/2020,05/23/2020,05/24/2020,05/25/2020,05/26/2020,05/27/2020,05/28/2020,05/29/2020,05/30/2020,05/31/2020,06/01/2020,06/02/2020,06/03/2020,06/04/2020,06/05/2020,06/06/2020,06/07/2020,06/08/2020,06/09/2020,06/10/2020,06/11/2020,06/12/2020,06/13/2020,06/14/2020,06/15/2020,06/16/2020,06/17/2020,06/18/2020,06/19/2020,06/20/2020,06/21/2020,06/22/2020,06/23/2020,06/24/2020,06/25/2020,06/26/2020,06/27/2020,06/28/2020,06/29/2020,06/30/2020,07/01/2020,07/02/2020,07/03/2020,07/04/2020,07/05/2020,07/06/2020,07/07/2020,07/08/2020,07/09/2020,07/10/2020,07/11/2020,07/12/2020,07/13/2020,07/14/2020,07/15/2020,07/16/2020,07/17/2020,07/18/2020,07/19/2020,07/20/2020,07/21/2020,07/22/2020,07/23/2020,07/24/2020,07/25/2020,07/26/2020,07/27/2020,07/28/2020,07/29/2020,07/30/2020,07/31/2020,08/01/2020,08/02/2020,08/03/2020,08/04/2020,08/05/2020
Dhahran,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,2,0,0,0,4,9,0,0,0,0,1,3,3,2,0,0,5,0,0,0,1,1,0,7,3,1,0,0,24,3,2,0,0,1,0,8,0,0,7,25,22,15,27,5,35,15,20,31,2,21,17,27,12,21,4,18,16,34,26,25,32,2,13,26,7,0,34,8,39,64,31,3,50,48,13,28,2,47,73,87,32,138,37,44,18,107,184,58,63,26,41,6,39,167,80,119,12,50,102,54,72,84,69,20,31,48,29,27,32,26,62,16,22,11,20,7,13
Al Mubarraz,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,6,4,0,5,3,3,4,14,13,6,35,13,6,15,18,86,37,16,2,55,186,95,1,6,68,5,29,236,209,221,141,68,73,38,156,43,46,154,86,196,38,61,189,78,125,147,147,147,148,142,165,106,114,92,140,69,104,96,166,101,119,95,66,80,83
Diriyah,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,1,3,30,23,15,23,46,17,52,51,49,12,39,4,83,60,6,110,4,1,0,0,0,0,0,0,0,7,12,36,5,2,6,12,12,53,42,106,51,20,82,23,9,6,1,8,0,0,0,3,2,37,18,4,2,1,6,1,1,1,0,0,0,0,2,44,5,1,0,7,0,2,8,12,7,7,4,8,8,14,2,1,0
Tabuk,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,1,1,0,0,0,0,2,1,0,0,0,0,23,0,0,1,0,10,0,58,0,0,0,18,0,7,0,0,32,5,0,0,0,0,79,14,0,0,80,5,41,0,52,2,45,14,2,0,65,13,5,4,18,0,0,0,4,3,10,16,16,54,96,0,22,24,42,20,22,23,19,4,0,24,23,20,27,76,30,29,12,18,9,25,22,37,18,38,36,33,29,28,42,41,51,54,52,43,43,35,46,42,34,31,43,35,23,32,44,48,26,27,36,28,36,26
Buraidah,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,3,5,0,0,0,9,2,0,0,2,0,0,6,0,10,9,6,1,14,0,8,0,0,0,3,0,39,0,1,5,0,32,44,1,3,13,16,22,0,5,31,1,2,8,21,2,99,71,74,69,78,1,2,2,1,0,2,1,127,16,0,25,16,84,6,5,1,0,0,74,17,20,17,46,2,3,14,39,27,84,118,0,0,105,509,153,145,121,67,59,46,13,3,2,7,1,45,10,125,68,58,265,21,88,44,81,61,52
Khamis Mushait,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,2,0,1,0,7,1,0,1,3,2,0,0,5,3,0,2,11,10,7,1,10,1,0,0,1,4,2,0,3,7,15,5,8,1,6,0,5,4,7,41,6,3,2,2,9,4,1,0,10,8,0,2,23,22,6,2,2,68,42,55,34,31,61,67,79,0,45,62,103,70,262,133,141,98,64,46,27,2,1,402,41,3,814,707,203,192,98,82,147,83,45,79,46,80,94,115,26,56,80,114,54,48,73,48,32,83
Al Muzahmiya,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9,2,0,0,0,7,1,0,1,0,0,2,1,0,4,2,0,0,2,5,0,1,4,0,2,4,13,5,29,25,3,0,2,5,15,34,26,56,4,49,24,19,11,0,5,0,0,0,4,1,20,12,3,2,0,6,2,1,0,2,2,1,8,4,12,23,1,0,0,0,0,6,2,6,6,4,3,5,1,9,4,0
Kharj,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,13,4,22,3,11,8,12,17,4,8,4,8,6,5,0,17,4,0,3,2,3,1,4,6,8,2,4,8,13,7,34,8,2,2,9,11,24,11,51,10,122,47,33,22,10,24,5,5,2,7,8,65,34,18,15,11,28,36,29,9,6,14,23,6,22,59,43,15,23,24,11,20,21,31,18,20,9,14,11,9,0,18,3
Wadi Al Dawasir,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,1,0,0,4,1,2,0,13,12,2,2,0,13,4,0,0,4,5,1,0,0,4,0,4,2,9,7,24,7,1,2,2,5,11,20,23,11,61,24,26,23,10,21,12,38,35,22,16,67,70,23,21,13,27,13,28,17,28,30,18,24,7,32,21,9,22,18,17,30,39,26,35,44,37,18,18,10,5,23,24
Hail,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,7,0,0,0,2,7,0,0,0,4,0,5,0,9,0,2,11,0,20,17,8,26,7,4,7,2,6,4,41,12,16,12,24,5,0,20,2,18,2,4,10,22,7,10,47,25,9,18,6,34,17,31,14,26,2,19,0,0,0,0,0,0,0,4,1,0,1,0,0,29,590,96,198,115,158,140,59,132,58,129,121,23,11,61,53,34,43,162,35,146,73,56,33,21
