City ,03/02/2020,03/03/2020,03/04/2020,03/05/2020,03/06/2020,03/07/2020,03/08/2020,03/09/2020,03/10/2020,03/11/2020,03/12/2020,03/13/2020,03/14/2020,03/15/2020,03/16/2020,03/17/2020,03/18/2020,03/19/2020,03/20/2020,03/21/2020,03/22/2020,03/23/2020,03/24/2020,03/25/2020,03/26/2020,03/27/2020,03/28/2020,03/29/2020,03/30/2020,03/31/2020,04/01/2020,04/02/2020,04/03/2020,04/04/2020,04/05/2020,04/06/2020,04/07/2020,04/08/2020,04/09/2020,04/10/2020,04/11/2020,04/12/2020,04/13/2020,04/14/2020,04/15/2020,04/16/2020,04/17/2020,04/18/2020,04/19/2020,04/20/2020,04/21/2020,04/22/2020,04/23/2020,04/24/2020,04/25/2020,04/26/2020,04/27/2020,04/28/2020,04/29/2020,04/30/2020,05/01/2020,05/02/2020,05/03/2020,05/04/2020,05/05/2020,05/06/2020,05/07/2020,05/08/2020,05/09/2020,05/10/2020,05/11/2020,05/12/2020,05/13/2020,05/14/2020,05/15/2020,05/16/2020,05/17/2020,05/18/2020,05/19/2020,05/20/2020,05/21/2020,05/22/2020,05/23/2020,05/24/2020,05/25/2020,05/26/2020,05/27/2020,05/28/2020,05/29/2020,05/30/2020,05/31/2020,06/01/2020,06/02/2020,06/03/2020,06/04/2020,06/05/2020,06/06/2020,06/07/2020,06/08/2020,06/09/2020,06/10/2020,06/11/2020,06/12/2020,06/13/2020,06/14/2020,06/15/2020,06/16/2020,06/17/2020,06/18/2020,06/19/2020,06/20/2020,06/21/2020,06/22/2020,06/23/2020,06/24/2020,06/25/2020,06/26/2020,06/27/2020,06/28/2020,06/29/2020,06/30/2020,07/01/2020,07/02/2020,07/03/2020,07/04/2020,07/05/2020,07/06/2020,07/07/2020,07/08/2020,07/09/2020,07/10/2020,07/11/2020,07/12/2020,07/13/2020,07/14/2020,07/15/2020,07/16/2020,07/17/2020,07/18/2020,07/19/2020,07/20/2020,07/21/2020,07/22/2020,07/23/2020,07/24/2020,07/25/2020,07/26/2020,07/27/2020,07/28/2020,07/29/2020,07/30/2020,07/31/2020,08/01/2020,08/02/2020,08/03/2020,08/04/2020,08/05/2020
Al Jafr,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,3,7,0,1,2,0,0,1,1,2,2,3,2,3,0,2,7,10,0,3,1,0,0,4,1,0,4,8,6,2,4,11,3,15,3,7,1,3,19,7,9,0,10,47,21,0,1,7,13,3,16,8,17,4,4,3,9,7,1,6,7,10,17,13,11,8,21,13,19,20,20,12,10,24,16,7,10,11,8,4,14,14,7,13,7,6,3,6
Baish,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,28,118,0,4,17,0,21,304,0,0,33,0,1,97,0,12,14,26,0,0,17,5,11,6,11,0,6,8,0,20,4,3,9,6,12,12,2,7,3,10,0,1,0,47,5,6,1,0,7,0,7,18,1,27,1,8,7,19,0,32,3,6,0,1,0,0,0,36,35,12,41,1,0,16,40,21,21,13,0,11,24,16,9,4,14,1,11,0,15,1,2
Bishah,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,5,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,3,1,1,0,0,9,1,0,0,9,8,1,5,0,10,0,4,0,38,3,3,10,0,3,0,6,1,7,1,0,0,1,0,0,0,2,0,6,0,1,0,4,0,8,1,8,13,3,21,2,5,12,10,25,0,2,1,2,10,2,81,0,26,4,13,15,0,45,0,2,63,42,74,77,26,5,46,18,36,56,13,19,4,15,11,6,8,18,11,1,0,8,7,5,13
Sabya,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,4,0,0,38,0,0,12,0,1,0,2,0,0,0,0,1,0,5,0,0,2,0,0,1,2,2,0,2,11,4,0,1,14,0,3,0,34,1,0,0,0,0,0,1,3,0,6,1,1,0,2,0,36,3,2,0,0,0,0,0,26,19,7,30,1,2,34,34,5,8,20,0,35,9,13,4,12,25,0,5,1,11,3,4
Khulais,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,35,0,1,0,1,2,1,0,3,2,2,2,15,3,4,6,9,15,55,13,13,3,9,7,3,5,3,0,3,0,1,2,0,1,5,3,3,16,1,8,13,19,4,0,2,8,18,6,2,1,0,2,2,0,2,5,2,2,3,10,7,8,9,6,25,14,17,10,21,12,3,12,11,5,8,5,11
Al Sulayyil,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,1,0,0,0,1,0,0,2,0,0,0,0,1,0,0,1,0,2,16,0,0,2,3,1,0,2,4,0,8,5,0,0,0,0,0,0,0,0,0,3,8,0,4,1,4,2,8,5,4,8,4,4,11,15,17,5,5,6,0,2,2,6,4,2,4,2,2,3,1,4,0
Arar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,1,0,0,0,0,2,3,8,0,0,3,2,0,0,0,0,4,0,0,2,7,0,0,0,0,0,0,0,0,0,0,0,15,6,10,1,2,3,1,0,3,2,0,0,0,0,1,24,13,19,5,9,5,2,7,2,0,6,0,6,0,3,1,0,0,0,1,0,0,3,0,5,1,0,1,1,14,12,4,50,62,37,20,27,8,19,15,7,14,15,12,13,11,15,3,1,3,10,5,10
Nairyah,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,9,3,4,9,11,0,0,0,1,9,0,1,0,1,0,0,2,0,0,1,1,6,7,0,5,0,0,2,0,0,4,6,1,1,0,0,1,0,0,0,0,4,4,11,2,5,0,1,1,4,8,11,11,3,9,2,4,30,19,20,7,18,19,11,13,12,29,7,8,11,7,22,17,15,15,14,20,16,13,8,8
Unaizah,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,3,3,4,0,8,0,1,0,18,0,0,0,13,0,0,2,0,11,11,1,0,3,0,1,0,1,3,0,0,0,0,0,1,0,0,15,8,0,0,0,0,0,1,0,13,2,1,4,1,29,1,3,0,0,0,25,3,2,6,24,0,0,8,19,18,27,59,0,0,34,182,55,71,111,38,15,36,19,3,10,4,20,37,12,11,37,25,61,33,10,27,18,24,1
Al Rafaia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,2,3,3,2,0,0,4,3,1,1,1,3,0,8,2,2,2,3,11,6,5,1,2,0,5,0,0,1,9,11,1,16,16,3,2,5,0,1,11,3,3,2,5,0,2,2,3,5,3
Bqeeq,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,16,4,0,4,2,0,7,4,4,0,25,13,6,10,1,4,1,0,1,2,0,11,0,4,17,0,8,5,6,2,0,0,12,4,1,5,2,0,1,2,0,0,0,0,15,41,4,0,1,0,2,18,26,24,23,8,4,0,37,87,24,26,4,14,51,30,28,41,16,13,8,8,12,17,17,9,34,24,8,24,4,12,6
Afif,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,12,0,0,0,2,2,1,5,7,2,13,3,15,2,5,0,0,0,0,1,0,0,1,0,4,2,0,0,0,0,0,0,0,0,0,2,1,1,1,3,4,5,6,1,8,6,14,11,7,6,15,7,8
Khafji,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,2,0,0,0,2,0,0,6,0,1,0,1,0,0,0,1,0,3,0,0,2,1,2,0,0,3,0,0,1,5,0,1,5,0,2,1,0,0,0,2,9,37,2,4,0,0,2,2,12,8,7,4,14,0,10,25,20,13,4,2,16,9,15,10,7,4,5,4,3,4,8,1,7,1,6,2,2,4,0
Mahayel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,2,1,0,1,2,5,2,0,6,1,4,7,7,1,2,5,1,1,0,22,10,0,0,4,0,1,1,2,0,3,14,0,1,6,4,6,1,2,4,9,10,10,9,9,4,8,0,32,3,24,10,27,11,48,9,5,3,5,0,0,0,0,9,128,317,60,81,119,37,25,3,12,30,14,19,9,5,1,5,2,79,13,15,14,6,0,1
Al Lith,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,5,3,1,0,0,2,0,8,1,0,0,9,2,6,3,3,1,4,0,0,9,0,0,1,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,1,5,4,12,6,1,4,1,9,8,6,10,11,4,9,9,8
Al Namas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,1,0,0,0,3,0,1,3,6,2,0,5,7,2,5,2,6,1,8,1,0,1,1,18,12,19,10,13,9,6,4,1,1,20,0,0,1,24,179,11,10,14,6,17,4,19,7,6,11,9,4,4,7,3,4,0,15,17,9,0,3
Al Suhan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,6,4,0,13,8,0,1,0,0,6,0,0,1,0,2,0,3,2,1,11,5,1,3,4,0,1,1,1,0,0,0,0,0,0,0,2,4,3,1,5,2,5,1,3,1,3,2,7,1,7,11,0,2,1,7,1,11,16,11,1,10,9,4,5,10,3,4,6,2,2,1
Al Bukayriyah,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1,0,0,0,0,0,0,0,0,1,7,0,0,0,0,0,0,0,14,3,0,0,1,7,5,0,0,0,0,11,0,0,5,2,0,0,6,7,13,5,5,0,0,7,90,10,12,10,4,3,1,3,2,0,1,1,1,4,2,4,6,34,7,4,1,3,17,1
Huraymla,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,2,1,3,1,1,1,0,1,2,3,5,4,3,1,0,2,0,4,2,16,4,28,24,9,3,2,5,0,1,0,2,1,13,5,13,1,15,11,9,2,0,9,10,7,5,12,9,5,1,0,0,0,5,2,5,5,6,6,5,7,3,3,0,1
Qunfuthah,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,5,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,28,30,0,7,5,2,20,11,0,4,1,2,0,0,2,2,0,0,0,1,0,0,0,0,2,0,3,0,13,1,0,2,4,3,0,1,3,0,2,7,2,0,0,0,6,3,8,2,0,1,0,6,1,0,2,1,6,3,1,5,9,3,13,4,2,4,2,3,3,4,11,13,5,7,9,47,2,16,3,5,3,0
Al Quwy'iyah,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,2,0,0,5,7,2,0,0,0,0,0,0,0,0,2,0,0,0,2,4,5,3,0,4,1,0,1,0,4,0,12,19,0,4,3,2,0,0,0,1,0,3,1,0,4,1,3,2,1,1,0,6,5,0,6,5,3,0,0,0,0,3,3,4,4,2,2,2,5,2,0,2,0
Rowaidat Alard,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,3,0,1,0,0,0,1,0,1,1,1,0,1,6,6,1,0,1,1,0,3,0,6,1,13,1,2,4,1,1,5,4,3,2,3,9,7,1,9,0,1,2,5,0,0,1,9,3,4,5,1,1,1,5,0,0,0,1,0,0,1,2,3,0,0,0,4
Wadi Ibn Hashbal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,10,0,11,0,6,1,0,8,0,0,3,11,5,1,6,14,5,7,6,0,0,2,2,7,3,38,5,9,14,23,10,7,16,2,7,5,2,2,3,0,4,0,34,0,1,22,6,0,0
Dawadmi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,2,0,0,0,1,0,0,0,1,3,0,0,0,0,2,0,0,1,4,1,0,1,1,1,1,3,11,2,4,0,3,2,2,1,0,1,0,1,0,1,4,2,1,1,1,0,0,1,1,1,1,4,0,13,7,11,8,16,6,6,11,9,14,7,5,5,9,10,7,6,7
Al Aridhah,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,7,0,0,1,1,0,1,0,2,0,0,0,18,0,0,0,2,0,2,1,0,3,0,2,2,0,3,0,5,0,1,0,2,3,0,0,0,0,0,0,5,5,2,1,0,0,0,0,2,0,4,0,1,1,0,0,0,7,0,5,0,0,0,1
Abu Arish,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,1,1,1,0,10,0,1,0,10,0,4,2,0,2,0,2,3,0,8,3,6,1,1,0,8,13,2,0,0,1,0,0,50,68,42,46,1,0,21,49,8,21,0,0,23,13,21,10,21,11,0,10,36,3,1,10
Sharorah,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,3,1,5,1,0,7,2,3,5,4,2,0,7,8,12,0,11,4,2,4,1,1,5,1,0,5,5,3,2,11,12,8,4,12,0,0,12,0,19,13,12,0,13,3,1,24,1,20,29,1,32,24,24,21,18,25,19,24,10,10,15,15,21,12,6,15,8,24,2,3,16,7,14,41
Al Majma'ah,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,14,5,53,27,3,3,4,0,1,0,8,0,2,0,0,1,2,1,0,0,1,4,0,0,0,2,3,0,0,0,4,4,3,2,3,1,18,2,7,23,5,2,2,1,0,4,2,9,26,21,15,9,15,14,2,12,19,3,5,5,5,9,5,7,12,2,2,11,8,1,0,3,3,3,5,9,1,3,10
Ar Ras,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,9,0,0,0,0,0,0,0,4,2,0,7,1,20,7,6,0,0,0,9,0,2,2,8,0,0,1,8,5,39,5,1,0,16,136,29,33,33,19,4,9,8,10,2,2,6,15,2,12,10,2,31,11,14,15,29,26,3
Al Bashayer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,1,0,0,0,0,0,1,0,2,4,6,2,0,1,1,0,4,2,2,0,1,0,3,0,2,0,0,1,0,19,0,2,0,0,3,0,10,0,0,11,7,5,9,3,0,7,3,5,10,2,4,3,9,9,6,8,10,6,1,2,1,3,1,6
Rumah,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,2,8,0,0,1,0,0,0,0,4,1,8,7,9,1,4,1,0,7,7,7,4,11,8,3,2,0,1,2,0,0,0,2,3,0,4,7,2,1,2,1,0,0,2,0,0,1,0,3,4,1,0,0,0
Shagraa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5,0,0,12,0,6,0,0,0,0,0,0,0,0,0,0,0,2,0,1,3,0,0,0,1,2,0,1,8,1,6,1,2,0,1,0,0,3,1,0,1,0,0,0,0,1,0,0,0,0,0,13,9,5,7,6,2,0,6,1,1,5,4,1,1,4,0,4,4,2,1,0,1
AL Madda,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,16,0,2,0,4,4,1,1,0,6,0,1,3,0,2,5,2,0,1,0,2,1,10,2,3,8,1,4,16,3,11,2,5,9,5,13,3,7,6,7,9,7,5,5,4,6,20,6,4,1,10,27,2,10,16,3,17,1
Az Zulfi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,20,62,3,0,0,3,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,2,0,1,0,0,1,2,2,0,1,0,0,2,4,3,5,0,4,4,1,2,0,2,0,0,0,0,1,4,1,7,11,2,3,6,6,8,6,3,3,2,3,3,5,7,5,3,2,9,9,3,1,4,1,5,5,6,4,5,1
Mahd Al Dhahab,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,7,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,2,0,2,7,2,2,2,3,3,1,0,1,6,0,5,1,5,0,2,0,0,0,0,2,0,2,1,1,1,2,2,18,1,4,16,2,0,2,5,3,23,3,0,4,4,1,0,3,4,0,1,2
Samtah,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,2,0,0,0,0,1,0,0,0,0,0,1,0,2,1,0,0,1,0,0,0,16,0,0,0,0,5,0,9,8,0,12,2,7,3,0,0,36,9,4,0,0,0,0,0,39,22,16,10,0,0,11,26,24,20,12,0,7,1,14,33,1,13,0,3,1,3,0,30
Dhurma,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,1,0,4,0,0,1,0,0,1,0,1,1,1,0,0,1,0,0,1,1,0,0,0,0,0,7,2,1,0,1,0,1,2,6,6,11,8,1,1,0,0,0,0,0,0,0,6,4,3,13,6,16,7,6,1,0,0,3,7,6,5,1,0,4,2,5,19,15,1,0,3,5,10,0,9,1,1,4
Layla,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,1,1,1,1,0,1,0,0,2,1,0,0,1,0,0,0,0,1,0,2,0,1,1,4,0,0,0,0,1,0,1,7,1,10,10,1,0,1,2,0,0,0,1,0,3,1,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,2,0,0,10,1,16,0,0,0
Bahah,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,1,0,0,4,0,0,3,6,0,0,0,0,0,0,0,0,0,0,2,0,0,0,4,2,1,0,0,0,3,0,0,2,1,0,0,3,2,0,2,1,0,1,0,6,1,1,0,0,5,1,4,3,3,1,0,5,1,5,9,4,0,10,3,0,3,1,8,0,3,33,9,11,8,1,11,0,8,12,7,2,0,10,3,1,1,1,3,2,1,1,10,0,1,0,0,1,1,1,3,2,2,2,3,2,4,1,1
Thadaq,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,1,6,1,0,4,0,1,1,0,1,1,1,0,0,0,0,0,0,2,0,0,0,2,0,2,1,1,1,0,1,0,1,5,3,4,6,0,1,2,2,1,2,0,3,4,6,20,5,0,3,5,12,2,0,2,2,4,3,1,1,3,3,0,0,0,0,0,1,1,0,2,1,0,0,0,0,0
